Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Denmark,Denmark,DK,99.25,152.28,86.49,82.14,entsoe.eu,false,
2022-01-01 01:00:00,Denmark,Denmark,DK,94.58,150.7,86.78,83.07,entsoe.eu,false,
2022-01-01 02:00:00,Denmark,Denmark,DK,102.51,162.02,85.69,82.37,entsoe.eu,false,
2022-01-01 03:00:00,Denmark,Denmark,DK,116.33,178.58,83.03,78.53,entsoe.eu,false,
2022-01-01 04:00:00,Denmark,Denmark,DK,125.77,188.4,81.47,78.08,entsoe.eu,false,
2022-01-01 05:00:00,Denmark,Denmark,DK,136.11,200.94,80.28,76.38,entsoe.eu,false,
2022-01-01 06:00:00,Denmark,Denmark,DK,144.71,211.7,78.68,73.24,entsoe.eu,false,
2022-01-01 07:00:00,Denmark,Denmark,DK,166.88,244.93,75.85,69.71,entsoe.eu,false,
2022-01-01 08:00:00,Denmark,Denmark,DK,190.68,274.57,73.04,66.12,entsoe.eu,false,
2022-01-01 09:00:00,Denmark,Denmark,DK,172.87,253.04,75.56,65.28,entsoe.eu,false,
2022-01-01 10:00:00,Denmark,Denmark,DK,196.13,279.76,73.25,64.64,entsoe.eu,false,
2022-01-01 11:00:00,Denmark,Denmark,DK,215.1,300.43,70.92,63.15,entsoe.eu,false,
2022-01-01 12:00:00,Denmark,Denmark,DK,219.05,300.62,70.38,63.12,entsoe.eu,false,
2022-01-01 13:00:00,Denmark,Denmark,DK,215.11,299.63,71.36,64.73,entsoe.eu,false,
2022-01-01 14:00:00,Denmark,Denmark,DK,218.86,302.44,70.49,65.34,entsoe.eu,false,
2022-01-01 15:00:00,Denmark,Denmark,DK,212.96,290.95,71.15,66.6,entsoe.eu,false,
2022-01-01 16:00:00,Denmark,Denmark,DK,215.71,288.54,70.68,68.17,entsoe.eu,false,
2022-01-01 17:00:00,Denmark,Denmark,DK,199.65,269.89,73.0,71.37,entsoe.eu,false,
2022-01-01 18:00:00,Denmark,Denmark,DK,170.22,235.06,76.96,76.29,entsoe.eu,false,
2022-01-01 19:00:00,Denmark,Denmark,DK,137.27,193.82,81.02,79.74,entsoe.eu,false,
2022-01-01 20:00:00,Denmark,Denmark,DK,116.61,167.89,83.65,82.29,entsoe.eu,false,
2022-01-01 21:00:00,Denmark,Denmark,DK,105.82,155.25,84.92,82.78,entsoe.eu,false,
2022-01-01 22:00:00,Denmark,Denmark,DK,84.78,130.86,88.11,84.46,entsoe.eu,false,
2022-01-01 23:00:00,Denmark,Denmark,DK,87.67,133.99,87.83,83.29,entsoe.eu,false,
2022-01-02 00:00:00,Denmark,Denmark,DK,84.57,131.02,88.15,83.51,entsoe.eu,false,
2022-01-02 01:00:00,Denmark,Denmark,DK,83.93,130.63,88.03,84.53,entsoe.eu,false,
2022-01-02 02:00:00,Denmark,Denmark,DK,106.31,158.16,84.24,83.56,entsoe.eu,false,
2022-01-02 03:00:00,Denmark,Denmark,DK,112.9,165.54,83.32,81.63,entsoe.eu,false,
2022-01-02 04:00:00,Denmark,Denmark,DK,112.82,162.31,83.19,81.16,entsoe.eu,false,
2022-01-02 05:00:00,Denmark,Denmark,DK,117.49,169.18,82.65,80.1,entsoe.eu,false,
2022-01-02 06:00:00,Denmark,Denmark,DK,117.68,171.3,82.7,80.39,entsoe.eu,false,
2022-01-02 07:00:00,Denmark,Denmark,DK,122.64,180.8,82.04,79.74,entsoe.eu,false,
2022-01-02 08:00:00,Denmark,Denmark,DK,124.26,183.38,81.72,78.43,entsoe.eu,false,
2022-01-02 09:00:00,Denmark,Denmark,DK,129.64,192.28,81.33,78.11,entsoe.eu,false,
2022-01-02 10:00:00,Denmark,Denmark,DK,136.69,204.2,80.59,77.95,entsoe.eu,false,
2022-01-02 11:00:00,Denmark,Denmark,DK,135.72,204.37,81.26,76.93,entsoe.eu,false,
2022-01-02 12:00:00,Denmark,Denmark,DK,151.39,223.39,79.27,75.39,entsoe.eu,false,
2022-01-02 13:00:00,Denmark,Denmark,DK,156.74,232.56,79.44,74.74,entsoe.eu,false,
2022-01-02 14:00:00,Denmark,Denmark,DK,159.37,231.89,79.27,75.07,entsoe.eu,false,
2022-01-02 15:00:00,Denmark,Denmark,DK,144.63,216.34,80.97,77.57,entsoe.eu,false,
2022-01-02 16:00:00,Denmark,Denmark,DK,144.87,212.1,80.95,77.49,entsoe.eu,false,
2022-01-02 17:00:00,Denmark,Denmark,DK,114.97,176.54,84.82,81.72,entsoe.eu,false,
2022-01-02 18:00:00,Denmark,Denmark,DK,94.57,151.25,87.32,84.46,entsoe.eu,false,
2022-01-02 19:00:00,Denmark,Denmark,DK,92.05,140.54,87.63,84.72,entsoe.eu,false,
2022-01-02 20:00:00,Denmark,Denmark,DK,93.75,141.87,87.23,84.76,entsoe.eu,false,
2022-01-02 21:00:00,Denmark,Denmark,DK,97.78,149.64,86.53,85.6,entsoe.eu,false,
2022-01-02 22:00:00,Denmark,Denmark,DK,109.94,161.37,84.03,82.37,entsoe.eu,false,
2022-01-02 23:00:00,Denmark,Denmark,DK,121.97,174.32,82.61,80.41,entsoe.eu,false,
2022-01-03 00:00:00,Denmark,Denmark,DK,129.09,182.12,81.7,79.11,entsoe.eu,false,
2022-01-03 01:00:00,Denmark,Denmark,DK,131.66,184.67,81.38,78.48,entsoe.eu,false,
2022-01-03 02:00:00,Denmark,Denmark,DK,126.94,179.03,82.0,79.04,entsoe.eu,false,
2022-01-03 03:00:00,Denmark,Denmark,DK,117.78,165.91,83.27,80.61,entsoe.eu,false,
2022-01-03 04:00:00,Denmark,Denmark,DK,109.1,157.18,84.54,82.46,entsoe.eu,false,
2022-01-03 05:00:00,Denmark,Denmark,DK,101.94,150.0,85.11,83.43,entsoe.eu,false,
2022-01-03 06:00:00,Denmark,Denmark,DK,98.79,151.84,86.4,85.34,entsoe.eu,false,
