"year_","country","zone_id","month_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Denmark","DK","1","158574.07","140536.32","-11.37","215154.47","190412.53","-11.50","64.98","69.88"
"2021","Denmark","DK","2","140536.32","114471.01","-18.55","190412.53","164417.37","-13.65","65.89","70.02"
"2021","Denmark","DK","3","114471.01","87814.07","-23.29","164417.37","136052.60","-17.25","72.72","77.84"
"2021","Denmark","DK","4","87814.07","77478.25","-11.77","136052.60","125661.22","-7.64","76.53","82.41"
"2021","Denmark","DK","5","77478.25","89436.53","15.43","125661.22","132249.17","5.24","77.06","84.52"
"2021","Denmark","DK","6","89436.53","101413.15","13.39","132249.17","133262.51","0.77","76.96","82.77"
"2021","Denmark","DK","7","101413.15","85276.09","-15.91","133262.51","120765.45","-9.38","74.09","82.20"
"2021","Denmark","DK","8","85276.09","102178.42","19.82","120765.45","145780.04","20.71","79.57","85.04"
"2021","Denmark","DK","9","102178.42","74549.45","-27.04","145780.04","119795.51","-17.82","74.97","81.67"
"2021","Denmark","DK","10","74549.45","98946.53","32.73","119795.51","145755.34","21.67","78.38","86.14"
"2021","Denmark","DK","11","98946.53","139956.00","41.45","145755.34","189629.02","30.10","74.19","80.81"
"2021","Denmark","DK","12","139956.00","0","0","189629.02","0","0","69.18","74.37"
"2022","Denmark","DK","1","110108.77","82956.39","-24.66","155226.46","120423.82","-22.42","75.14","79.70"
"2022","Denmark","DK","2","82956.39","124881.79","50.54","120423.82","175095.61","45.40","79.30","83.37"
"2022","Denmark","DK","3","124881.79","102197.62","-18.16","175095.61","145243.67","-17.05","68.96","77.22"
"2022","Denmark","DK","4","102197.62","86845.42","-15.02","145243.67","125028.84","-13.92","72.96","81.20"
"2022","Denmark","DK","5","86845.42","73026.73","-15.91","125028.84","107326.91","-14.16","75.25","84.04"
"2022","Denmark","DK","6","73026.73","54716.97","-25.07","107326.91","86497.02","-19.41","75.96","85.69"
"2022","Denmark","DK","7","54716.97","77375.53","41.41","86497.02","117087.13","35.37","78.15","89.59"
"2022","Denmark","DK","8","77375.53","103912.57","34.30","117087.13","145938.05","24.64","73.06","85.23"
"2022","Denmark","DK","9","103912.57","84410.75","-18.77","145938.05","121063.73","-17.04","73.56","80.34"
"2022","Denmark","DK","10","84410.75","74753.01","-11.44","121063.73","112036.58","-7.46","75.97","82.98"
"2022","Denmark","DK","11","74753.01","132973.40","77.88","112036.58","186738.12","66.68","80.75","85.49"
"2022","Denmark","DK","12","132973.40","0","0","186738.12","0","0","71.14","75.15"
"2023","Denmark","DK","1","80812.09","63451.44","-21.48","123693.92","104471.95","-15.54","76.78","81.89"
"2023","Denmark","DK","2","63451.44","78874.79","24.31","104471.95","123076.90","17.81","77.45","83.36"
"2023","Denmark","DK","3","78874.79","50649.13","-35.79","123076.90","90421.19","-26.53","77.03","81.71"
"2023","Denmark","DK","4","50649.13","35214.75","-30.47","90421.19","72732.81","-19.56","80.23","87.66"
"2023","Denmark","DK","5","35214.75","42798.69","21.54","72732.81","76378.28","5.01","84.78","91.03"
"2023","Denmark","DK","6","42798.69","34653.29","-19.03","76378.28","63962.81","-16.26","78.51","89.38"
"2023","Denmark","DK","7","34653.29","51062.23","47.35","63962.81","81592.74","27.56","81.75","92.08"
"2023","Denmark","DK","8","51062.23","37455.51","-26.65","81592.74","69723.87","-14.55","78.41","88.45"
"2023","Denmark","DK","9","37455.51","37574.31","0.32","69723.87","61812.86","-11.35","84.27","90.84"
"2023","Denmark","DK","10","37574.31","84310.08","124.38","61812.86","122570.52","98.29","83.40","91.18"
"2023","Denmark","DK","11","84310.08","99659.48","18.21","122570.52","143587.59","17.15","73.97","80.67"
"2023","Denmark","DK","12","99659.48","0","0","143587.59","0","0","75.20","78.46"
"2024","Denmark","DK","1","80812.09","63451.44","-21.48","123693.92","104471.95","-15.54","76.78","81.89"
"2024","Denmark","DK","2","63451.44","78874.79","24.31","104471.95","123076.90","17.81","77.45","83.36"
"2024","Denmark","DK","3","78874.79","50649.13","-35.79","123076.90","90421.19","-26.53","77.03","81.71"
"2024","Denmark","DK","4","50649.13","35214.75","-30.47","90421.19","72732.81","-19.56","80.23","87.66"
"2024","Denmark","DK","5","35214.75","42798.69","21.54","72732.81","76378.28","5.01","84.78","91.03"
"2024","Denmark","DK","6","42798.69","34653.29","-19.03","76378.28","63962.81","-16.26","78.51","89.38"
"2024","Denmark","DK","7","34653.29","51062.23","47.35","63962.81","81592.74","27.56","81.75","92.08"
"2024","Denmark","DK","8","51062.23","37455.51","-26.65","81592.74","69723.87","-14.55","78.41","88.45"
"2024","Denmark","DK","9","37455.51","37574.31","0.32","69723.87","61812.86","-11.35","84.27","90.84"
"2024","Denmark","DK","10","37574.31","84310.08","124.38","61812.86","122570.52","98.29","83.40","91.18"
"2024","Denmark","DK","11","84310.08","99659.48","18.21","122570.52","143587.59","17.15","73.97","80.67"
"2024","Denmark","DK","12","99659.48","0","0","143587.59","0","0","75.20","78.46"
