Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Finland,Finland,FI,158.86,192.32,74.79,41.28,entsoe.eu,false,
2022-01-01 01:00:00,Finland,Finland,FI,160.41,194.12,74.51,41.22,entsoe.eu,false,
2022-01-01 02:00:00,Finland,Finland,FI,163.55,197.65,74.04,40.83,entsoe.eu,false,
2022-01-01 03:00:00,Finland,Finland,FI,162.66,196.56,74.34,41.81,entsoe.eu,false,
2022-01-01 04:00:00,Finland,Finland,FI,162.21,196.12,74.45,42.43,entsoe.eu,false,
2022-01-01 05:00:00,Finland,Finland,FI,160.72,194.6,74.86,43.57,entsoe.eu,false,
2022-01-01 06:00:00,Finland,Finland,FI,162.71,197.01,74.49,44.32,entsoe.eu,false,
2022-01-01 07:00:00,Finland,Finland,FI,160.81,195.13,74.66,45.3,entsoe.eu,false,
2022-01-01 08:00:00,Finland,Finland,FI,161.33,194.94,74.57,45.76,entsoe.eu,false,
2022-01-01 09:00:00,Finland,Finland,FI,156.53,189.74,75.4,47.17,entsoe.eu,false,
2022-01-01 10:00:00,Finland,Finland,FI,154.52,187.84,75.75,47.74,entsoe.eu,false,
2022-01-01 11:00:00,Finland,Finland,FI,154.28,187.53,75.77,47.66,entsoe.eu,false,
2022-01-01 12:00:00,Finland,Finland,FI,155.12,188.21,75.66,47.69,entsoe.eu,false,
2022-01-01 13:00:00,Finland,Finland,FI,154.64,187.95,75.74,48.0,entsoe.eu,false,
2022-01-01 14:00:00,Finland,Finland,FI,150.34,183.57,76.47,49.07,entsoe.eu,false,
2022-01-01 15:00:00,Finland,Finland,FI,148.76,181.9,76.74,49.75,entsoe.eu,false,
2022-01-01 16:00:00,Finland,Finland,FI,147.55,180.64,76.95,49.56,entsoe.eu,false,
2022-01-01 17:00:00,Finland,Finland,FI,147.97,181.41,76.91,48.81,entsoe.eu,false,
2022-01-01 18:00:00,Finland,Finland,FI,147.78,181.48,76.9,47.77,entsoe.eu,false,
2022-01-01 19:00:00,Finland,Finland,FI,151.96,186.27,76.26,45.66,entsoe.eu,false,
2022-01-01 20:00:00,Finland,Finland,FI,153.07,187.76,76.09,45.41,entsoe.eu,false,
2022-01-01 21:00:00,Finland,Finland,FI,153.67,188.08,75.95,45.47,entsoe.eu,false,
2022-01-01 22:00:00,Finland,Finland,FI,163.03,198.53,74.52,41.67,entsoe.eu,false,
2022-01-01 23:00:00,Finland,Finland,FI,170.89,206.55,73.19,38.0,entsoe.eu,false,
2022-01-02 00:00:00,Finland,Finland,FI,168.02,203.16,73.54,38.16,entsoe.eu,false,
2022-01-02 01:00:00,Finland,Finland,FI,167.23,201.3,73.65,38.43,entsoe.eu,false,
2022-01-02 02:00:00,Finland,Finland,FI,164.71,198.68,74.08,38.96,entsoe.eu,false,
2022-01-02 03:00:00,Finland,Finland,FI,161.21,195.33,74.61,40.14,entsoe.eu,false,
2022-01-02 04:00:00,Finland,Finland,FI,161.07,195.06,74.59,40.66,entsoe.eu,false,
2022-01-02 05:00:00,Finland,Finland,FI,163.81,197.95,74.21,39.99,entsoe.eu,false,
2022-01-02 06:00:00,Finland,Finland,FI,163.36,196.89,74.23,40.83,entsoe.eu,false,
2022-01-02 07:00:00,Finland,Finland,FI,159.68,192.59,75.23,42.27,entsoe.eu,false,
2022-01-02 08:00:00,Finland,Finland,FI,158.03,190.55,75.64,42.91,entsoe.eu,false,
2022-01-02 09:00:00,Finland,Finland,FI,152.0,183.76,76.61,45.17,entsoe.eu,false,
2022-01-02 10:00:00,Finland,Finland,FI,153.18,185.31,76.36,44.73,entsoe.eu,false,
2022-01-02 11:00:00,Finland,Finland,FI,155.9,188.59,75.77,43.75,entsoe.eu,false,
2022-01-02 12:00:00,Finland,Finland,FI,152.22,184.87,76.35,45.03,entsoe.eu,false,
2022-01-02 13:00:00,Finland,Finland,FI,149.24,181.95,76.75,46.34,entsoe.eu,false,
2022-01-02 14:00:00,Finland,Finland,FI,144.56,177.26,77.59,48.12,entsoe.eu,false,
