"year_","country","zone_id","month_grouped","hour_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Finland","FI","1","0","5772.21","5819.44","0.82","7023.28","7076.61","0.76","37.76","69.94"
"2021","Finland","FI","1","1","5819.44","5813.43","-0.10","7076.61","7070.06","-0.09","37.27","69.71"
"2021","Finland","FI","1","2","5813.43","5602.66","-3.63","7070.06","6887.78","-2.58","37.57","69.75"
"2021","Finland","FI","1","3","5602.66","5438.81","-2.92","6887.78","6744.48","-2.08","39.74","71.06"
"2021","Finland","FI","1","4","5438.81","5526.81","1.62","6744.48","6844.85","1.49","41.92","72.15"
"2021","Finland","FI","1","5","5526.81","5576.67","0.90","6844.85","6894.22","0.72","42.63","71.98"
"2021","Finland","FI","1","6","5576.67","5685.13","1.94","6894.22","7016.21","1.77","43.53","71.91"
"2021","Finland","FI","1","7","5685.13","5666.67","-0.32","7016.21","6988.85","-0.39","43.60","71.52"
"2021","Finland","FI","1","8","5666.67","5639.55","-0.48","6988.85","6954.77","-0.49","43.93","71.63"
"2021","Finland","FI","1","9","5639.55","5674.74","0.62","6954.77","6994.45","0.57","44.31","71.80"
"2021","Finland","FI","1","10","5674.74","5674.79","0.00","6994.45","6995.91","0.02","44.11","71.64"
"2021","Finland","FI","1","11","5674.79","5685.74","0.19","6995.91","7010.93","0.21","44.04","71.62"
"2021","Finland","FI","1","12","5685.74","5665.81","-0.35","7010.93","6994.19","-0.24","43.83","71.57"
"2021","Finland","FI","1","13","5665.81","5599.54","-1.17","6994.19","6926.19","-0.97","43.92","71.68"
"2021","Finland","FI","1","14","5599.54","5596.64","-0.05","6926.19","6921.55","-0.07","44.63","72.09"
"2021","Finland","FI","1","15","5596.64","5662.36","1.17","6921.55","6983.79","0.90","45.01","72.15"
"2021","Finland","FI","1","16","5662.36","5690.76","0.50","6983.79","7012.25","0.41","44.92","71.88"
"2021","Finland","FI","1","17","5690.76","5878.89","3.31","7012.25","7164.14","2.17","44.65","71.73"
"2021","Finland","FI","1","18","5878.89","5922.90","0.75","7164.14","7187.43","0.33","42.93","70.53"
"2021","Finland","FI","1","19","5922.90","5710.02","-3.59","7187.43","6947.90","-3.33","41.57","69.94"
"2021","Finland","FI","1","20","5710.02","5676.76","-0.58","6947.90","6910.56","-0.54","42.03","70.74"
"2021","Finland","FI","1","21","5676.76","5749.94","1.29","6910.56","6992.26","1.18","41.07","70.76"
"2021","Finland","FI","1","22","5749.94","5789.58","0.69","6992.26","7041.03","0.70","39.33","70.30"
"2021","Finland","FI","1","23","5789.58","0","0","7041.03","0","0","38.23","69.98"
"2021","Finland","FI","2","0","5426.35","5451.21","0.46","6592.13","6623.24","0.47","38.72","69.44"
"2021","Finland","FI","2","1","5451.21","5436.10","-0.28","6623.24","6604.42","-0.28","38.43","69.29"
"2021","Finland","FI","2","2","5436.10","5260.26","-3.23","6604.42","6460.44","-2.18","38.86","69.42"
"2021","Finland","FI","2","3","5260.26","5114.67","-2.77","6460.44","6354.77","-1.64","40.83","70.60"
"2021","Finland","FI","2","4","5114.67","5205.62","1.78","6354.77","6453.47","1.55","43.36","71.79"
"2021","Finland","FI","2","5","5205.62","5269.51","1.23","6453.47","6522.09","1.06","44.05","71.53"
"2021","Finland","FI","2","6","5269.51","5216.40","-1.01","6522.09","6466.01","-0.86","44.44","71.31"
"2021","Finland","FI","2","7","5216.40","5153.74","-1.20","6466.01","6397.04","-1.07","45.00","71.61"
"2021","Finland","FI","2","8","5153.74","5123.33","-0.59","6397.04","6361.82","-0.55","45.29","71.94"
"2021","Finland","FI","2","9","5123.33","5303.58","3.52","6361.82","6497.15","2.13","45.24","72.09"
"2021","Finland","FI","2","10","5303.58","5428.28","2.35","6497.15","6600.67","1.59","43.53","70.81"
"2021","Finland","FI","2","11","5428.28","5275.65","-2.81","6600.67","6476.57","-1.88","42.61","69.98"
"2021","Finland","FI","2","12","5275.65","5107.53","-3.19","6476.57","6346.93","-2.00","43.40","70.89"
"2021","Finland","FI","2","13","5107.53","5098.77","-0.17","6346.93","6349.48","0.04","44.53","71.98"
"2021","Finland","FI","2","14","5098.77","5053.50","-0.89","6349.48","6291.62","-0.91","44.84","72.09"
"2021","Finland","FI","2","15","5053.50","5015.25","-0.76","6291.62","6240.12","-0.82","45.83","72.39"
"2021","Finland","FI","2","16","5015.25","5052.08","0.73","6240.12","6278.73","0.62","46.84","72.67"
"2021","Finland","FI","2","17","5052.08","5260.45","4.12","6278.73","6443.83","2.63","46.75","72.48"
"2021","Finland","FI","2","18","5260.45","5359.39","1.88","6443.83","6520.06","1.18","44.67","70.99"
"2021","Finland","FI","2","19","5359.39","5190.08","-3.16","6520.06","6324.76","-3.00","42.99","70.13"
"2021","Finland","FI","2","20","5190.08","5201.77","0.23","6324.76","6332.36","0.12","43.52","70.93"
"2021","Finland","FI","2","21","5201.77","5248.10","0.89","6332.36","6385.94","0.85","42.50","70.85"
"2021","Finland","FI","2","22","5248.10","5290.45","0.81","6385.94","6436.92","0.80","41.00","70.54"
"2021","Finland","FI","2","23","5290.45","0","0","6436.92","0","0","39.97","70.21"
"2021","Finland","FI","3","0","4796.07","4822.54","0.55","5948.20","5976.71","0.48","42.35","74.93"
"2021","Finland","FI","3","1","4822.54","4781.28","-0.86","5976.71","5943.34","-0.56","42.22","74.81"
"2021","Finland","FI","3","2","4781.28","4407.51","-7.82","5943.34","5626.05","-5.34","42.86","75.05"
"2021","Finland","FI","3","3","4407.51","4197.91","-4.76","5626.05","5464.30","-2.88","45.79","77.11"
"2021","Finland","FI","3","4","4197.91","4320.15","2.91","5464.30","5597.55","2.44","47.63","78.20"
"2021","Finland","FI","3","5","4320.15","4347.96","0.64","5597.55","5618.66","0.38","48.27","77.71"
"2021","Finland","FI","3","6","4347.96","4358.11","0.23","5618.66","5631.42","0.23","49.19","77.72"
"2021","Finland","FI","3","7","4358.11","4325.25","-0.75","5631.42","5600.45","-0.55","49.31","77.70"
"2021","Finland","FI","3","8","4325.25","4251.32","-1.71","5600.45","5514.58","-1.53","48.93","77.80"
"2021","Finland","FI","3","9","4251.32","4198.92","-1.23","5514.58","5457.31","-1.04","48.77","78.07"
"2021","Finland","FI","3","10","4198.92","4144.55","-1.29","5457.31","5396.94","-1.11","48.60","78.30"
"2021","Finland","FI","3","11","4144.55","4121.51","-0.56","5396.94","5370.42","-0.49","48.48","78.46"
"2021","Finland","FI","3","12","4121.51","4111.12","-0.25","5370.42","5360.54","-0.18","48.46","78.53"
"2021","Finland","FI","3","13","4111.12","4096.36","-0.36","5360.54","5350.33","-0.19","48.52","78.57"
"2021","Finland","FI","3","14","4096.36","4153.23","1.39","5350.33","5408.10","1.08","48.89","78.65"
"2021","Finland","FI","3","15","4153.23","4171.41","0.44","5408.10","5422.46","0.27","49.38","78.42"
"2021","Finland","FI","3","16","4171.41","4122.41","-1.17","5422.46","5359.73","-1.16","50.20","78.39"
"2021","Finland","FI","3","17","4122.41","4486.11","8.82","5359.73","5676.06","5.90","51.23","78.68"
"2021","Finland","FI","3","18","4486.11","4693.96","4.63","5676.06","5847.13","3.01","48.49","76.56"
"2021","Finland","FI","3","19","4693.96","4544.78","-3.18","5847.13","5672.93","-2.98","46.16","75.30"
"2021","Finland","FI","3","20","4544.78","4579.85","0.77","5672.93","5712.84","0.70","46.57","76.04"
"2021","Finland","FI","3","21","4579.85","4658.50","1.72","5712.84","5794.77","1.43","45.43","75.90"
"2021","Finland","FI","3","22","4658.50","4715.84","1.23","5794.77","5860.88","1.14","44.01","75.63"
"2021","Finland","FI","3","23","4715.84","0","0","5860.88","0","0","42.96","75.37"
"2021","Finland","FI","4","0","3676.76","3705.15","0.77","4792.54","4808.83","0.34","46.16","80.67"
"2021","Finland","FI","4","1","3705.15","3732.93","0.75","4808.83","4837.73","0.60","46.42","80.49"
"2021","Finland","FI","4","2","3732.93","3613.15","-3.21","4837.73","4749.04","-1.83","46.88","80.32"
"2021","Finland","FI","4","3","3613.15","3495.71","-3.25","4749.04","4686.20","-1.32","48.79","81.05"
"2021","Finland","FI","4","4","3495.71","3566.39","2.02","4686.20","4764.63","1.67","50.67","81.81"
"2021","Finland","FI","4","5","3566.39","3609.88","1.22","4764.63","4813.26","1.02","50.96","81.46"
"2021","Finland","FI","4","6","3609.88","3520.82","-2.47","4813.26","4721.33","-1.91","50.94","81.27"
"2021","Finland","FI","4","7","3520.82","3425.14","-2.72","4721.33","4618.16","-2.19","51.19","81.71"
"2021","Finland","FI","4","8","3425.14","3340.57","-2.47","4618.16","4520.99","-2.10","51.33","82.10"
"2021","Finland","FI","4","9","3340.57","3241.53","-2.96","4520.99","4415.40","-2.34","51.28","82.38"
"2021","Finland","FI","4","10","3241.53","3191.11","-1.56","4415.40","4358.40","-1.29","51.29","82.74"
"2021","Finland","FI","4","11","3191.11","3473.44","8.85","4358.40","4581.16","5.11","51.19","82.96"
"2021","Finland","FI","4","12","3473.44","3363.47","-3.17","4581.16","4476.52","-2.28","48.92","81.38"
"2021","Finland","FI","4","13","3363.47","3126.56","-7.04","4476.52","4275.10","-4.50","49.78","81.99"
"2021","Finland","FI","4","14","3126.56","3146.30","0.63","4275.10","4301.89","0.63","51.73","83.30"
"2021","Finland","FI","4","15","3146.30","3222.19","2.41","4301.89","4381.37","1.85","52.26","83.19"
"2021","Finland","FI","4","16","3222.19","3287.86","2.04","4381.37","4454.65","1.67","52.51","82.88"
"2021","Finland","FI","4","17","3287.86","3673.02","11.71","4454.65","4778.75","7.28","52.49","82.59"
"2021","Finland","FI","4","18","3673.02","3648.30","-0.67","4778.75","4707.47","-1.49","50.00","80.42"
"2021","Finland","FI","4","19","3648.30","3616.61","-0.87","4707.47","4675.45","-0.68","50.39","80.56"
"2021","Finland","FI","4","20","3616.61","3674.79","1.61","4675.45","4746.52","1.52","49.58","80.84"
"2021","Finland","FI","4","21","3674.79","3695.44","0.56","4746.52","4784.75","0.81","47.92","80.61"
"2021","Finland","FI","4","22","3695.44","3726.97","0.85","4784.75","4828.80","0.92","46.93","80.53"
"2021","Finland","FI","4","23","3726.97","0","0","4828.80","0","0","46.23","80.35"
"2021","Finland","FI","5","0","3807.16","3826.52","0.51","4828.91","4852.15","0.48","49.01","79.96"
"2021","Finland","FI","5","1","3826.52","3849.82","0.61","4852.15","4879.82","0.57","48.93","79.83"
"2021","Finland","FI","5","2","3849.82","3498.73","-9.12","4879.82","4554.11","-6.67","49.17","79.69"
"2021","Finland","FI","5","3","3498.73","3135.76","-10.37","4554.11","4222.62","-7.28","52.56","81.67"
"2021","Finland","FI","5","4","3135.76","3106.13","-0.94","4222.62","4186.79","-0.85","55.17","83.72"
"2021","Finland","FI","5","5","3106.13","3094.35","-0.38","4186.79","4173.60","-0.32","55.85","83.93"
"2021","Finland","FI","5","6","3094.35","3093.60","-0.02","4173.60","4172.93","-0.02","56.13","84.03"
"2021","Finland","FI","5","7","3093.60","3062.75","-1.00","4172.93","4136.51","-0.87","56.28","84.01"
"2021","Finland","FI","5","8","3062.75","3017.89","-1.46","4136.51","4089.64","-1.13","56.19","84.16"
"2021","Finland","FI","5","9","3017.89","2971.23","-1.55","4089.64","4038.87","-1.24","56.45","84.40"
"2021","Finland","FI","5","10","2971.23","2892.49","-2.65","4038.87","3957.82","-2.01","56.37","84.69"
"2021","Finland","FI","5","11","2892.49","3159.13","9.22","3957.82","4172.89","5.43","56.52","85.07"
"2021","Finland","FI","5","12","3159.13","3315.33","4.94","4172.89","4295.27","2.93","54.60","83.45"
"2021","Finland","FI","5","13","3315.33","3332.83","0.53","4295.27","4307.71","0.29","53.62","82.50"
"2021","Finland","FI","5","14","3332.83","3208.94","-3.72","4307.71","4211.85","-2.23","54.02","82.38"
"2021","Finland","FI","5","15","3208.94","2995.97","-6.64","4211.85","4032.54","-4.26","55.36","83.11"
"2021","Finland","FI","5","16","2995.97","2978.13","-0.60","4032.54","4029.34","-0.08","57.27","84.42"
"2021","Finland","FI","5","17","2978.13","3452.96","15.94","4029.34","4457.86","10.63","57.43","84.53"
"2021","Finland","FI","5","18","3452.96","3532.60","2.31","4457.86","4492.42","0.78","54.57","81.90"
"2021","Finland","FI","5","19","3532.60","3547.30","0.42","4492.42","4512.36","0.44","54.34","81.42"
"2021","Finland","FI","5","20","3547.30","3645.53","2.77","4512.36","4616.74","2.31","53.50","81.35"
"2021","Finland","FI","5","21","3645.53","3762.90","3.22","4616.74","4741.39","2.70","51.75","80.84"
"2021","Finland","FI","5","22","3762.90","3794.03","0.83","4741.39","4790.31","1.03","50.37","80.17"
"2021","Finland","FI","5","23","3794.03","0","0","4790.31","0","0","49.39","80.00"
"2021","Finland","FI","6","0","2770.75","2767.42","-0.12","3626.13","3624.54","-0.04","46.56","83.41"
"2021","Finland","FI","6","1","2767.42","2739.28","-1.02","3624.54","3586.32","-1.05","46.33","83.35"
"2021","Finland","FI","6","2","2739.28","2525.88","-7.79","3586.32","3380.03","-5.75","47.15","83.56"
"2021","Finland","FI","6","3","2525.88","2233.44","-11.58","3380.03","3129.80","-7.40","49.39","84.92"
"2021","Finland","FI","6","4","2233.44","2234.53","0.05","3129.80","3126.03","-0.12","52.34","86.80"
"2021","Finland","FI","6","5","2234.53","2231.42","-0.14","3126.03","3123.96","-0.07","53.29","86.91"
"2021","Finland","FI","6","6","2231.42","2207.83","-1.06","3123.96","3097.92","-0.83","54.21","87.00"
"2021","Finland","FI","6","7","2207.83","2176.08","-1.44","3097.92","3059.25","-1.25","54.68","87.18"
"2021","Finland","FI","6","8","2176.08","2137.67","-1.77","3059.25","3021.32","-1.24","55.07","87.36"
"2021","Finland","FI","6","9","2137.67","2125.20","-0.58","3021.32","3002.47","-0.62","55.24","87.55"
"2021","Finland","FI","6","10","2125.20","2115.70","-0.45","3002.47","2991.20","-0.38","55.10","87.59"
"2021","Finland","FI","6","11","2115.70","2101.74","-0.66","2991.20","2973.04","-0.61","55.04","87.63"
"2021","Finland","FI","6","12","2101.74","2403.56","14.36","2973.04","3215.52","8.16","54.89","87.65"
"2021","Finland","FI","6","13","2403.56","2555.03","6.30","3215.52","3337.23","3.79","52.71","85.81"
"2021","Finland","FI","6","14","2555.03","2429.40","-4.92","3337.23","3234.57","-3.08","51.75","84.88"
"2021","Finland","FI","6","15","2429.40","2174.65","-10.49","3234.57","3028.57","-6.37","52.89","85.65"
"2021","Finland","FI","6","16","2174.65","2157.80","-0.77","3028.57","3023.99","-0.15","54.75","87.22"
"2021","Finland","FI","6","17","2157.80","2530.69","17.28","3023.99","3347.57","10.70","54.78","87.33"
"2021","Finland","FI","6","18","2530.69","2602.47","2.84","3347.57","3387.28","1.19","51.74","85.08"
"2021","Finland","FI","6","19","2602.47","2592.01","-0.40","3387.28","3382.22","-0.15","51.15","84.52"
"2021","Finland","FI","6","20","2592.01","2630.99","1.50","3382.22","3437.74","1.64","50.36","84.53"
"2021","Finland","FI","6","21","2630.99","2670.35","1.50","3437.74","3492.64","1.60","48.99","84.22"
"2021","Finland","FI","6","22","2670.35","2678.70","0.31","3492.64","3520.34","0.79","47.65","83.91"
"2021","Finland","FI","6","23","2678.70","0","0","3520.34","0","0","47.05","83.87"
"2021","Finland","FI","7","0","1665.77","1712.74","2.82","2668.73","2724.00","2.07","46.24","89.77"
"2021","Finland","FI","7","1","1712.74","1724.98","0.71","2724.00","2734.85","0.40","45.58","89.49"
"2021","Finland","FI","7","2","1724.98","1688.17","-2.13","2734.85","2684.34","-1.85","45.64","89.45"
"2021","Finland","FI","7","3","1688.17","1669.07","-1.13","2684.34","2657.46","-1.00","46.98","89.78"
"2021","Finland","FI","7","4","1669.07","1653.13","-0.96","2657.46","2627.87","-1.11","48.49","90.04"
"2021","Finland","FI","7","5","1653.13","1666.21","0.79","2627.87","2636.25","0.32","50.02","90.20"
"2021","Finland","FI","7","6","1666.21","1653.61","-0.76","2636.25","2618.32","-0.68","50.94","90.25"
"2021","Finland","FI","7","7","1653.61","1638.30","-0.93","2618.32","2598.67","-0.75","51.51","90.36"
"2021","Finland","FI","7","8","1638.30","1635.78","-0.15","2598.67","2597.99","-0.03","51.87","90.42"
"2021","Finland","FI","7","9","1635.78","1622.81","-0.79","2597.99","2583.41","-0.56","51.84","90.42"
"2021","Finland","FI","7","10","1622.81","1634.97","0.75","2583.41","2595.64","0.47","51.86","90.46"
"2021","Finland","FI","7","11","1634.97","1632.11","-0.17","2595.64","2596.35","0.03","51.74","90.40"
"2021","Finland","FI","7","12","1632.11","1632.47","0.02","2596.35","2594.08","-0.09","51.71","90.43"
"2021","Finland","FI","7","13","1632.47","1678.80","2.84","2594.08","2637.48","1.67","51.79","90.45"
"2021","Finland","FI","7","14","1678.80","1701.92","1.38","2637.48","2658.85","0.81","51.72","90.22"
"2021","Finland","FI","7","15","1701.92","1698.64","-0.19","2658.85","2646.58","-0.46","51.86","90.13"
"2021","Finland","FI","7","16","1698.64","1722.44","1.40","2646.58","2670.14","0.89","52.48","90.19"
"2021","Finland","FI","7","17","1722.44","1745.61","1.35","2670.14","2702.51","1.21","52.53","90.08"
"2021","Finland","FI","7","18","1745.61","1695.66","-2.86","2702.51","2647.91","-2.02","51.52","89.89"
"2021","Finland","FI","7","19","1695.66","1683.02","-0.75","2647.91","2643.10","-0.18","51.76","90.10"
"2021","Finland","FI","7","20","1683.02","1690.87","0.47","2643.10","2667.47","0.92","50.82","90.07"
"2021","Finland","FI","7","21","1690.87","1673.33","-1.04","2667.47","2656.61","-0.41","48.78","89.85"
"2021","Finland","FI","7","22","1673.33","1678.54","0.31","2656.61","2668.11","0.43","47.42","89.81"
"2021","Finland","FI","7","23","1678.54","0","0","2668.11","0","0","46.67","89.73"
"2021","Finland","FI","8","0","3339.24","3364.85","0.77","4166.59","4188.90","0.54","41.39","81.11"
"2021","Finland","FI","8","1","3364.85","3346.40","-0.55","4188.90","4169.35","-0.47","41.18","80.96"
"2021","Finland","FI","8","2","3346.40","3204.78","-4.23","4169.35","4027.90","-3.39","41.79","81.11"
"2021","Finland","FI","8","3","3204.78","2957.59","-7.71","4027.90","3806.64","-5.49","44.18","82.03"
"2021","Finland","FI","8","4","2957.59","2943.24","-0.49","3806.64","3789.28","-0.46","46.86","83.59"
"2021","Finland","FI","8","5","2943.24","2956.51","0.45","3789.28","3812.96","0.62","48.55","83.79"
"2021","Finland","FI","8","6","2956.51","2960.24","0.13","3812.96","3814.77","0.05","49.59","83.88"
"2021","Finland","FI","8","7","2960.24","2922.05","-1.29","3814.77","3770.39","-1.16","50.01","83.92"
"2021","Finland","FI","8","8","2922.05","2899.85","-0.76","3770.39","3748.25","-0.59","50.30","84.09"
