"year_","country","zone_id","month_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Iceland","IS","1","0.88","0.94","6.82","20877.22","18872.85","-9.60","100.00","100.00"
"2021","Iceland","IS","2","0.94","1.10","17.02","18872.85","20864.50","10.55","100.00","100.00"
"2021","Iceland","IS","3","1.10","0.87","-20.91","20864.50","20114.03","-3.60","100.00","100.00"
"2021","Iceland","IS","4","0.87","0.46","-47.13","20114.03","20508.28","1.96","100.00","100.00"
"2021","Iceland","IS","5","0.46","0.95","106.52","20508.28","20053.28","-2.22","100.00","100.00"
"2021","Iceland","IS","6","0.95","0.00","0","20053.28","20940.62","4.42","100.00","100.00"
"2021","Iceland","IS","7","0.00","36.42","0","20940.62","20877.38","-0.30","100.00","100.00"
"2021","Iceland","IS","8","36.42","24.66","-32.29","20877.38","20012.42","-4.14","99.99","99.99"
"2021","Iceland","IS","9","24.66","15.73","-36.21","20012.42","20627.75","3.07","99.99","99.99"
"2021","Iceland","IS","10","15.73","0.00","0","20627.75","19782.95","-4.10","99.99","99.99"
"2021","Iceland","IS","11","0.00","0.00","0","19782.95","20600.82","4.13","100.00","100.00"
"2021","Iceland","IS","12","0.00","0","0","20600.82","0","0","100.00","100.00"
"2022","Iceland","IS","1","66.39","113.79","71.40","21023.73","18721.55","-10.95","99.98","99.98"
"2022","Iceland","IS","2","113.79","59.95","-47.32","18721.55","20702.50","10.58","99.96","99.96"
"2022","Iceland","IS","3","59.95","0.00","0","20702.50","20102.98","-2.90","99.98","99.98"
"2022","Iceland","IS","4","0.00","4.67","0","20102.98","20227.95","0.62","100.00","100.00"
"2022","Iceland","IS","5","4.67","0.00","0","20227.95","19483.82","-3.68","100.00","100.00"
"2022","Iceland","IS","6","0.00","0.00","0","19483.82","20371.26","4.55","100.00","100.00"
"2022","Iceland","IS","7","0.00","0.00","0","20371.26","20129.74","-1.19","100.00","100.00"
"2022","Iceland","IS","8","0.00","0.00","0","20129.74","19332.77","-3.96","100.00","100.00"
"2022","Iceland","IS","9","0.00","0.00","0","19332.77","20288.87","4.95","100.00","100.00"
"2022","Iceland","IS","10","0.00","0.00","0","20288.87","19705.69","-2.87","100.00","100.00"
"2022","Iceland","IS","11","0.00","0.00","0","19705.69","20219.26","2.61","100.00","100.00"
"2022","Iceland","IS","12","0.00","0","0","20219.26","0","0","100.00","100.00"
"2023","Iceland","IS","1","0.00","0.00","0","20152.91","18253.73","-9.42","100.00","100.00"
"2023","Iceland","IS","2","0.00","0.00","0","18253.73","20252.03","10.95","100.00","100.00"
"2023","Iceland","IS","3","0.00","0.00","0","20252.03","19706.45","-2.69","100.00","100.00"
"2023","Iceland","IS","4","0.00","0.00","0","19706.45","20667.71","4.88","100.00","100.00"
"2023","Iceland","IS","5","0.00","0.00","0","20667.71","20168.47","-2.42","100.00","100.00"
"2023","Iceland","IS","6","0.00","0.00","0","20168.47","20965.92","3.95","100.00","100.00"
"2023","Iceland","IS","7","0.00","0.00","0","20965.92","20861.85","-0.50","100.00","100.00"
"2023","Iceland","IS","8","0.00","0.00","0","20861.85","20010.79","-4.08","100.00","100.00"
"2023","Iceland","IS","9","0.00","0.00","0","20010.79","20947.36","4.68","100.00","100.00"
"2023","Iceland","IS","10","0.00","0.00","0","20947.36","20245.16","-3.35","100.00","100.00"
"2023","Iceland","IS","11","0.00","0.00","0","20245.16","20966.79","3.56","100.00","100.00"
"2023","Iceland","IS","12","0.00","0","0","20966.79","0","0","100.00","100.00"
"2024","Iceland","IS","1","0.00","0.00","0","20152.91","18253.73","-9.42","100.00","100.00"
"2024","Iceland","IS","2","0.00","0.00","0","18253.73","20252.03","10.95","100.00","100.00"
"2024","Iceland","IS","3","0.00","0.00","0","20252.03","19706.45","-2.69","100.00","100.00"
"2024","Iceland","IS","4","0.00","0.00","0","19706.45","20667.71","4.88","100.00","100.00"
"2024","Iceland","IS","5","0.00","0.00","0","20667.71","20168.47","-2.42","100.00","100.00"
"2024","Iceland","IS","6","0.00","0.00","0","20168.47","20965.92","3.95","100.00","100.00"
"2024","Iceland","IS","7","0.00","0.00","0","20965.92","20861.85","-0.50","100.00","100.00"
"2024","Iceland","IS","8","0.00","0.00","0","20861.85","20010.79","-4.08","100.00","100.00"
"2024","Iceland","IS","9","0.00","0.00","0","20010.79","20947.36","4.68","100.00","100.00"
"2024","Iceland","IS","10","0.00","0.00","0","20947.36","20245.16","-3.35","100.00","100.00"
"2024","Iceland","IS","11","0.00","0.00","0","20245.16","20966.79","3.56","100.00","100.00"
"2024","Iceland","IS","12","0.00","0","0","20966.79","0","0","100.00","100.00"
