Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Norway,Norway,NO,35.17,62.98,94.45,87.89,entsoe.eu,false,
2023-01-01 01:00:00,Norway,Norway,NO,38.21,66.53,93.92,86.23,entsoe.eu,false,
2023-01-01 02:00:00,Norway,Norway,NO,40.73,69.58,93.45,85.1,entsoe.eu,false,
2023-01-01 03:00:00,Norway,Norway,NO,41.95,71.09,93.2,85.08,entsoe.eu,false,
2023-01-01 04:00:00,Norway,Norway,NO,42.13,71.6,93.14,84.78,entsoe.eu,false,
2023-01-01 05:00:00,Norway,Norway,NO,42.17,71.21,93.13,84.82,entsoe.eu,false,
2023-01-01 06:00:00,Norway,Norway,NO,40.73,69.19,93.37,85.4,entsoe.eu,false,
2023-01-01 07:00:00,Norway,Norway,NO,39.24,67.48,93.52,85.66,entsoe.eu,false,
2023-01-01 08:00:00,Norway,Norway,NO,35.09,62.92,94.29,87.18,entsoe.eu,false,
2023-01-01 09:00:00,Norway,Norway,NO,31.52,58.85,94.99,88.06,entsoe.eu,false,
2023-01-01 10:00:00,Norway,Norway,NO,29.69,56.95,95.33,88.95,entsoe.eu,false,
2023-01-01 11:00:00,Norway,Norway,NO,27.5,54.44,95.65,89.38,entsoe.eu,false,
2023-01-01 12:00:00,Norway,Norway,NO,28.67,55.61,95.54,89.46,entsoe.eu,false,
2023-01-01 13:00:00,Norway,Norway,NO,27.34,53.79,95.68,89.25,entsoe.eu,false,
2023-01-01 14:00:00,Norway,Norway,NO,26.28,52.64,95.85,90.34,entsoe.eu,false,
2023-01-01 15:00:00,Norway,Norway,NO,25.92,52.13,96.1,92.17,entsoe.eu,false,
2023-01-01 16:00:00,Norway,Norway,NO,24.06,49.94,96.47,92.51,entsoe.eu,false,
2023-01-01 17:00:00,Norway,Norway,NO,24.79,50.38,96.43,91.94,entsoe.eu,false,
2023-01-01 18:00:00,Norway,Norway,NO,24.65,50.39,96.46,92.13,entsoe.eu,false,
2023-01-01 19:00:00,Norway,Norway,NO,24.81,50.88,96.36,91.77,entsoe.eu,false,
2023-01-01 20:00:00,Norway,Norway,NO,26.94,53.76,95.89,91.38,entsoe.eu,false,
