"year_","country","zone_id","month_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Norway","NO","1","4559.45","5329.50","16.89","22849.49","21780.15","-4.68","98.53","99.00"
"2021","Norway","NO","2","5329.50","4723.50","-11.37","21780.15","22706.83","4.25","97.88","98.79"
"2021","Norway","NO","3","4723.50","4551.16","-3.65","22706.83","22222.72","-2.13","97.85","98.95"
"2021","Norway","NO","4","4551.16","5808.24","27.62","22222.72","24825.77","11.71","97.50","98.89"
"2021","Norway","NO","5","5808.24","3398.10","-41.50","24825.77","21124.48","-14.91","97.38","98.62"
"2021","Norway","NO","6","3398.10","4998.39","47.09","21124.48","23564.35","11.55","98.81","99.08"
"2021","Norway","NO","7","4998.39","7396.27","47.97","23564.35","26237.49","11.34","98.05","98.73"
"2021","Norway","NO","8","7396.27","5011.94","-32.24","26237.49","22705.19","-13.46","97.50","98.32"
"2021","Norway","NO","9","5011.94","6011.25","19.94","22705.19","24157.64","6.40","97.66","98.76"
"2021","Norway","NO","10","6011.25","4251.00","-29.28","24157.64","21691.99","-10.21","97.17","98.67"
"2021","Norway","NO","11","4251.00","9124.22","114.64","21691.99","27632.78","27.39","98.05","98.96"
"2021","Norway","NO","12","9124.22","0","0","27632.78","0","0","97.20","98.22"
"2022","Norway","NO","1","7717.47","8040.57","4.19","25956.93","24617.63","-5.16","96.80","98.37"
"2022","Norway","NO","2","8040.57","6366.46","-20.82","24617.63","24618.67","0.00","96.29","98.20"
"2022","Norway","NO","3","6366.46","12449.82","95.55","24618.67","31363.30","27.40","96.90","98.66"
"2022","Norway","NO","4","12449.82","8178.70","-34.31","31363.30","26900.46","-14.23","94.30","97.50"
"2022","Norway","NO","5","8178.70","5117.07","-37.43","26900.46","23135.21","-14.00","95.82","97.93"
"2022","Norway","NO","6","5117.07","7524.07","47.04","23135.21","26345.63","13.88","97.56","98.49"
"2022","Norway","NO","7","7524.07","9055.44","20.35","26345.63","28310.16","7.46","96.17","97.82"
"2022","Norway","NO","8","9055.44","19310.04","113.24","28310.16","39375.13","39.08","95.64","97.32"
"2022","Norway","NO","9","19310.04","10056.91","-47.92","39375.13","28605.13","-27.35","91.30","95.01"
"2022","Norway","NO","10","10056.91","4818.29","-52.09","28605.13","22124.59","-22.66","94.26","97.11"
"2022","Norway","NO","11","4818.29","12202.32","153.25","22124.59","31320.15","41.56","97.80","98.45"
"2022","Norway","NO","12","12202.32","0","0","31320.15","0","0","95.74","97.33"
"2023","Norway","NO","1","10040.47","4925.50","-50.94","28635.94","21117.85","-26.25","95.71","97.63"
"2023","Norway","NO","2","4925.50","7943.14","61.27","21117.85","26516.22","25.56","97.26","98.45"
"2023","Norway","NO","3","7943.14","7087.52","-10.77","26516.22","25124.70","-5.25","96.31","97.99"
"2023","Norway","NO","4","7087.52","3107.06","-56.16","25124.70","20858.06","-16.98","95.29","97.96"
"2023","Norway","NO","5","3107.06","2520.16","-18.89","20858.06","20091.07","-3.68","97.24","99.18"
"2023","Norway","NO","6","2520.16","5303.99","110.46","20091.07","24135.15","20.13","98.62","99.33"
"2023","Norway","NO","7","5303.99","6075.40","14.54","24135.15","24991.06","3.55","97.81","98.58"
"2023","Norway","NO","8","6075.40","5641.57","-7.14","24991.06","23475.39","-6.06","97.55","98.10"
"2023","Norway","NO","9","5641.57","5750.23","1.93","23475.39","23684.81","0.89","97.73","98.16"
"2023","Norway","NO","10","5750.23","7568.38","31.62","23684.81","25596.02","8.07","97.00","98.26"
"2023","Norway","NO","11","7568.38","12565.12","66.02","25596.02","31861.70","24.48","96.30","97.94"
"2023","Norway","NO","12","12565.12","0","0","31861.70","0","0","94.35","96.86"
"2024","Norway","NO","1","10040.47","4925.50","-50.94","28635.94","21117.85","-26.25","95.71","97.63"
"2024","Norway","NO","2","4925.50","7943.14","61.27","21117.85","26516.22","25.56","97.26","98.45"
"2024","Norway","NO","3","7943.14","7087.52","-10.77","26516.22","25124.70","-5.25","96.31","97.99"
"2024","Norway","NO","4","7087.52","3107.06","-56.16","25124.70","20858.06","-16.98","95.29","97.96"
"2024","Norway","NO","5","3107.06","2520.16","-18.89","20858.06","20091.07","-3.68","97.24","99.18"
"2024","Norway","NO","6","2520.16","5303.99","110.46","20091.07","24135.15","20.13","98.62","99.33"
"2024","Norway","NO","7","5303.99","6075.40","14.54","24135.15","24991.06","3.55","97.81","98.58"
"2024","Norway","NO","8","6075.40","5641.57","-7.14","24991.06","23475.39","-6.06","97.55","98.10"
"2024","Norway","NO","9","5641.57","5750.23","1.93","23475.39","23684.81","0.89","97.73","98.16"
"2024","Norway","NO","10","5750.23","7568.38","31.62","23684.81","25596.02","8.07","97.00","98.26"
"2024","Norway","NO","11","7568.38","12565.12","66.02","25596.02","31861.70","24.48","96.30","97.94"
"2024","Norway","NO","12","12565.12","0","0","31861.70","0","0","94.35","96.86"
