Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Sweden,Sweden,SE,5.62,31.26,99.39,68.35,entsoe.eu,false,
2022-01-01 01:00:00,Sweden,Sweden,SE,3.14,27.92,99.71,68.28,entsoe.eu,false,
2022-01-01 02:00:00,Sweden,Sweden,SE,3.31,28.0,99.68,68.07,entsoe.eu,false,
2022-01-01 03:00:00,Sweden,Sweden,SE,6.01,32.24,99.34,66.92,entsoe.eu,false,
2022-01-01 04:00:00,Sweden,Sweden,SE,3.39,28.64,99.69,67.17,entsoe.eu,false,
2022-01-01 05:00:00,Sweden,Sweden,SE,5.22,31.62,99.45,67.44,entsoe.eu,false,
2022-01-01 06:00:00,Sweden,Sweden,SE,7.3,34.97,99.17,67.82,entsoe.eu,false,
2022-01-01 07:00:00,Sweden,Sweden,SE,5.15,32.64,99.47,68.86,entsoe.eu,false,
2022-01-01 08:00:00,Sweden,Sweden,SE,2.49,28.93,99.82,68.67,entsoe.eu,false,
2022-01-01 09:00:00,Sweden,Sweden,SE,7.84,35.36,99.11,68.08,entsoe.eu,false,
2022-01-01 10:00:00,Sweden,Sweden,SE,21.3,50.26,98.0,66.85,entsoe.eu,false,
2022-01-01 11:00:00,Sweden,Sweden,SE,27.94,57.78,96.93,65.49,entsoe.eu,false,
2022-01-01 12:00:00,Sweden,Sweden,SE,31.22,61.55,96.41,64.62,entsoe.eu,false,
2022-01-01 13:00:00,Sweden,Sweden,SE,22.25,51.16,97.87,65.28,entsoe.eu,false,
2022-01-01 14:00:00,Sweden,Sweden,SE,22.4,51.73,97.88,66.12,entsoe.eu,false,
2022-01-01 15:00:00,Sweden,Sweden,SE,25.28,55.11,97.57,66.87,entsoe.eu,false,
2022-01-01 16:00:00,Sweden,Sweden,SE,13.61,42.89,98.49,68.57,entsoe.eu,false,
2022-01-01 17:00:00,Sweden,Sweden,SE,12.65,40.85,98.43,69.65,entsoe.eu,false,
2022-01-01 18:00:00,Sweden,Sweden,SE,11.32,39.47,98.64,70.22,entsoe.eu,false,
2022-01-01 19:00:00,Sweden,Sweden,SE,6.28,33.25,99.29,70.99,entsoe.eu,false,
2022-01-01 20:00:00,Sweden,Sweden,SE,3.17,28.84,99.71,71.2,entsoe.eu,false,
