"year_","country","zone_id","month_grouped","total_direct_carbon_emission","next_direct_carbon_emission","direct_decrease_or_increase","total_lca_carbon_emission","next_lca_carbon_emission","lca_decrease_or_increase","avg_renewable_percentage","avg_low_carbon_percentage"
"2021","Sweden","SE","1","6077.28","8227.87","35.39","25788.29","26830.34","4.04","70.26","98.68"
"2021","Sweden","SE","2","8227.87","3315.57","-59.70","26830.34","22847.66","-14.84","69.36","98.14"
"2021","Sweden","SE","3","3315.57","2704.52","-18.43","22847.66","21324.25","-6.67","68.81","99.13"
"2021","Sweden","SE","4","2704.52","3829.70","41.60","21324.25","23180.54","8.71","69.06","99.26"
"2021","Sweden","SE","5","3829.70","2783.95","-27.31","23180.54","21351.22","-7.89","69.87","99.04"
"2021","Sweden","SE","6","2783.95","2005.15","-27.97","21351.22","20798.66","-2.59","69.98","99.23"
"2021","Sweden","SE","7","2005.15","4166.17","107.77","20798.66","23585.59","13.40","70.73","99.42"
"2021","Sweden","SE","8","4166.17","3191.54","-23.39","23585.59","21697.12","-8.01","68.88","99.09"
"2021","Sweden","SE","9","3191.54","2065.43","-35.28","21697.12","20682.30","-4.68","69.46","99.20"
"2021","Sweden","SE","10","2065.43","3002.07","45.35","20682.30","21432.19","3.63","70.09","99.40"
"2021","Sweden","SE","11","3002.07","6177.39","105.77","21432.19","25857.41","20.65","69.59","99.22"
"2021","Sweden","SE","12","6177.39","0","0","25857.41","0","0","69.40","98.73"
"2022","Sweden","SE","1","3144.08","2305.36","-26.68","21119.26","17602.92","-16.65","69.51","99.56"
"2022","Sweden","SE","2","2305.36","2316.89","0.50","17602.92","19603.71","11.37","70.39","99.65"
"2022","Sweden","SE","3","2316.89","3606.14","55.65","19603.71","20398.36","4.05","66.37","99.69"
"2022","Sweden","SE","4","3606.14","2805.50","-22.20","20398.36","18406.99","-9.76","66.76","99.47"
"2022","Sweden","SE","5","2805.50","1476.62","-47.37","18406.99","14087.47","-23.47","70.55","99.58"
"2022","Sweden","SE","6","1476.62","1160.16","-21.43","14087.47","12784.39","-9.25","68.61","99.74"
"2022","Sweden","SE","7","1160.16","1356.04","16.88","12784.39","13093.97","2.42","67.87","99.78"
"2022","Sweden","SE","8","1356.04","3418.24","152.08","13093.97","17075.58","30.41","66.29","99.73"
"2022","Sweden","SE","9","3418.24","1859.49","-45.60","17075.58","15798.46","-7.48","70.94","99.39"
"2022","Sweden","SE","10","1859.49","2619.51","40.87","15798.46","18388.22","16.39","68.75","99.70"
"2022","Sweden","SE","11","2619.51","7839.67","199.28","18388.22","28853.64","56.91","70.92","99.56"
"2022","Sweden","SE","12","7839.67","0","0","28853.64","0","0","73.09","98.79"
"2023","Sweden","SE","1","3428.51","1838.78","-46.37","20771.20","17164.11","-17.37","71.45","99.45"
"2023","Sweden","SE","2","1838.78","3888.14","111.45","17164.11","22053.45","28.49","72.83","99.69"
"2023","Sweden","SE","3","3888.14","2731.92","-29.74","22053.45","18581.03","-15.75","72.30","99.36"
"2023","Sweden","SE","4","2731.92","2092.53","-23.40","18581.03","16979.29","-8.62","66.91","99.51"
"2023","Sweden","SE","5","2092.53","1893.47","-9.51","16979.29","14625.54","-13.86","71.90","99.68"
"2023","Sweden","SE","6","1893.47","2105.87","11.22","14625.54","14796.09","1.17","66.08","99.69"
"2023","Sweden","SE","7","2105.87","1282.68","-39.09","14796.09","12729.71","-13.97","66.00","99.62"
"2023","Sweden","SE","8","1282.68","1028.12","-19.85","12729.71","12083.04","-5.08","71.20","99.76"
"2023","Sweden","SE","9","1028.12","1246.96","21.29","12083.04","12722.72","5.29","72.93","99.82"
"2023","Sweden","SE","10","1246.96","3513.18","181.74","12722.72","18641.62","46.52","70.50","99.80"
"2023","Sweden","SE","11","3513.18","9139.68","160.15","18641.62","26583.19","42.60","68.59","99.43"
"2023","Sweden","SE","12","9139.68","0","0","26583.19","0","0","68.36","98.54"
"2024","Sweden","SE","1","3428.51","1838.78","-46.37","20771.20","17164.11","-17.37","71.45","99.45"
"2024","Sweden","SE","2","1838.78","3888.14","111.45","17164.11","22053.45","28.49","72.83","99.69"
"2024","Sweden","SE","3","3888.14","2731.92","-29.74","22053.45","18581.03","-15.75","72.30","99.36"
"2024","Sweden","SE","4","2731.92","2092.53","-23.40","18581.03","16979.29","-8.62","66.91","99.51"
"2024","Sweden","SE","5","2092.53","1893.47","-9.51","16979.29","14625.54","-13.86","71.90","99.68"
"2024","Sweden","SE","6","1893.47","2105.87","11.22","14625.54","14796.09","1.17","66.08","99.69"
"2024","Sweden","SE","7","2105.87","1282.68","-39.09","14796.09","12729.71","-13.97","66.00","99.62"
"2024","Sweden","SE","8","1282.68","1028.12","-19.85","12729.71","12083.04","-5.08","71.20","99.76"
"2024","Sweden","SE","9","1028.12","1246.96","21.29","12083.04","12722.72","5.29","72.93","99.82"
"2024","Sweden","SE","10","1246.96","3513.18","181.74","12722.72","18641.62","46.52","70.50","99.80"
"2024","Sweden","SE","11","3513.18","9139.68","160.15","18641.62","26583.19","42.60","68.59","99.43"
"2024","Sweden","SE","12","9139.68","0","0","26583.19","0","0","68.36","98.54"
